origin_name,origin_code,destination_name,destination_code,value
Aruba,ABW,Aruba,ABW,0
Aruba,ABW,Afghanistan,AFG,0
Aruba,ABW,Angola,AGO,0
Aruba,ABW,Albania,ALB,0
Aruba,ABW,United Arab Emirates,ARE,0
Aruba,ABW,Argentina,ARG,0
Aruba,ABW,Armenia,ARM,0
Aruba,ABW,Australia,AUS,1
Aruba,ABW,Austria,AUT,0
Aruba,ABW,Azerbaijan,AZE,0
Aruba,ABW,Burundi,BDI,0
Aruba,ABW,Belgium,BEL,0
Aruba,ABW,Benin,BEN,0
Aruba,ABW,Burkina Faso,BFA,0
Aruba,ABW,Bangladesh,BGD,0
Aruba,ABW,Bulgaria,BGR,0
Aruba,ABW,Bahrain,BHR,0
Aruba,ABW,Bahamas,BHS,0
Aruba,ABW,Bosnia and Herzegovina,BIH,0
Aruba,ABW,Belarus,BLR,0
Aruba,ABW,Belize,BLZ,0
Aruba,ABW,Bolivia,BOL,0
Aruba,ABW,Brazil,BRA,0
Aruba,ABW,Barbados,BRB,0
Aruba,ABW,Brunei,BRN,0
Aruba,ABW,Bhutan,BTN,0
Aruba,ABW,Botswana,BWA,0
Aruba,ABW,Central African Republic,CAF,0
Aruba,ABW,Canada,CAN,1
Aruba,ABW,Switzerland,CHE,0
Aruba,ABW,Channel Islands,CHI,0
Aruba,ABW,Chile,CHL,1
Aruba,ABW,China,CHN,0
Aruba,ABW,Ivory Coast,CIV,0
Aruba,ABW,Cameroon,CMR,0
Aruba,ABW,Democratic Republic of the Congo,COD,0
Aruba,ABW,Republic of Congo,COG,0
Aruba,ABW,Colombia,COL,14
Aruba,ABW,Comoros,COM,0
Aruba,ABW,Cape Verde,CPV,0
Aruba,ABW,Costa Rica,CRI,1
Aruba,ABW,Cuba,CUB,0
Aruba,ABW,Cyprus,CYP,0
Aruba,ABW,Czech Republic,CZE,0
Aruba,ABW,Germany,DEU,0
Aruba,ABW,Djibouti,DJI,0
Aruba,ABW,Denmark,DNK,0
Aruba,ABW,Dominican Republic,DOM,0
Aruba,ABW,Algeria,DZA,0
Aruba,ABW,Ecuador,ECU,13
Aruba,ABW,Egypt,EGY,0
Aruba,ABW,Eritrea,ERI,0
Aruba,ABW,Western Sahara,ESH,0
Aruba,ABW,Spain,ESP,42
Aruba,ABW,Estonia,EST,0
Aruba,ABW,Ethiopia,ETH,0
Aruba,ABW,Finland,FIN,0
Aruba,ABW,Fiji,FJI,0
Aruba,ABW,France,FRA,1
Aruba,ABW,Micronesia,FSM,0
Aruba,ABW,Gabon,GAB,0
Aruba,ABW,United Kingdom,GBR,0
Aruba,ABW,Georgia,GEO,0
Aruba,ABW,Ghana,GHA,0
Aruba,ABW,Guinea,GIN,0
Aruba,ABW,Guadeloupe,GLP,0
Aruba,ABW,Gambia,GMB,0
Aruba,ABW,Guinea-Bissau,GNB,0
Aruba,ABW,Equatorial Guinea,GNQ,0
Aruba,ABW,Greece,GRC,4
Aruba,ABW,Grenada,GRD,0
Aruba,ABW,Guatemala,GTM,0
Aruba,ABW,French Guiana,GUF,0
Aruba,ABW,Guam,GUM,0
Aruba,ABW,Guyana,GUY,0
Aruba,ABW,Hong Kong,HKG,0
Aruba,ABW,Honduras,HND,0
Aruba,ABW,Croatia,HRV,0
Aruba,ABW,Haiti,HTI,0
Aruba,ABW,Hungary,HUN,0
Aruba,ABW,Indonesia,IDN,0
Aruba,ABW,India,IND,0
Aruba,ABW,Ireland,IRL,0
Aruba,ABW,Iran,IRN,0
Aruba,ABW,Iraq,IRQ,0
Aruba,ABW,Iceland,ISL,0
Aruba,ABW,Israel,ISR,0
Aruba,ABW,Italy,ITA,3
Aruba,ABW,Jamaica,JAM,0
Aruba,ABW,Jordan,JOR,0
Aruba,ABW,Japan,JPN,0
Aruba,ABW,Kazakhstan,KAZ,0
Aruba,ABW,Kenya,KEN,0
Aruba,ABW,Kyrgyzstan,KGZ,0
Aruba,ABW,Cambodia,KHM,0
Aruba,ABW,South Korea,KOR,0
Aruba,ABW,Kuwait,KWT,0
Aruba,ABW,Laos,LAO,0
Aruba,ABW,Lebanon,LBN,0
Aruba,ABW,Liberia,LBR,0
Aruba,ABW,Libya,LBY,0
Aruba,ABW,Saint Lucia,LCA,1
Aruba,ABW,Sri Lanka,LKA,0
Aruba,ABW,Lesotho,LSO,0
Aruba,ABW,Lithuania,LTU,0
Aruba,ABW,Luxembourg,LUX,0
Aruba,ABW,Latvia,LVA,0
Aruba,ABW,Macao,MAC,0
Aruba,ABW,Morocco,MAR,0
Aruba,ABW,Moldova,MDA,0
Aruba,ABW,Madagascar,MDG,0
Aruba,ABW,Maldives,MDV,0
Aruba,ABW,Mexico,MEX,0
Aruba,ABW,Macedonia,MKD,0
Aruba,ABW,Mali,MLI,0
Aruba,ABW,Malta,MLT,0
Aruba,ABW,Myanmar,MMR,0
Aruba,ABW,Montenegro,MNE,0
Aruba,ABW,Mongolia,MNG,0
Aruba,ABW,Mozambique,MOZ,0
Aruba,ABW,Mauritania,MRT,0
Aruba,ABW,Martinique,MTQ,0
Aruba,ABW,Mauritius,MUS,0
Aruba,ABW,Malawi,MWI,0
Aruba,ABW,Malaysia,MYS,0
Aruba,ABW,Mayotte,MYT,0
Aruba,ABW,Namibia,NAM,0
Aruba,ABW,New Caledonia,NCL,0
Aruba,ABW,Niger,NER,0
Aruba,ABW,Nigeria,NGA,0
Aruba,ABW,Nicaragua,NIC,0
Aruba,ABW,Netherlands,NLD,87
Aruba,ABW,Norway,NOR,1
Aruba,ABW,Nepal,NPL,0
Aruba,ABW,New Zealand,NZL,0
Aruba,ABW,Oman,OMN,0
Aruba,ABW,Pakistan,PAK,0
Aruba,ABW,Panama,PAN,1
Aruba,ABW,Peru,PER,0
Aruba,ABW,Philippines,PHL,0
Aruba,ABW,Papua New Guinea,PNG,0
Aruba,ABW,Poland,POL,0
Aruba,ABW,Puerto Rico,PRI,0
Aruba,ABW,North Korea,PRK,0
Aruba,ABW,Portugal,PRT,0
Aruba,ABW,Paraguay,PRY,0
Aruba,ABW,Palestine,PSE,0
Aruba,ABW,French Polynesia,PYF,0
Aruba,ABW,Qatar,QAT,0
Aruba,ABW,Reunion,REU,0
Aruba,ABW,Romania,ROU,0
Aruba,ABW,Russia,RUS,0
Aruba,ABW,Rwanda,RWA,0
Aruba,ABW,Saudi Arabia,SAU,0
Aruba,ABW,Sudan,SDN,0
Aruba,ABW,Senegal,SEN,0
Aruba,ABW,Singapore,SGP,0
Aruba,ABW,Solomon Islands,SLB,0
Aruba,ABW,Sierra Leone,SLE,0
Aruba,ABW,El Salvador,SLV,0
Aruba,ABW,Somalia,SOM,0
Aruba,ABW,Serbia,SRB,0
Aruba,ABW,South Sudan,SSD,0
Aruba,ABW,Sao Tome and Principe,STP,0
Aruba,ABW,Suriname,SUR,0
Aruba,ABW,Slovakia,SVK,0
Aruba,ABW,Slovenia,SVN,0
Aruba,ABW,Sweden,SWE,0
Aruba,ABW,Swaziland,SWZ,0
Aruba,ABW,Syria,SYR,0
Aruba,ABW,Chad,TCD,0
Aruba,ABW,Togo,TGO,0
Aruba,ABW,Thailand,THA,0
Aruba,ABW,Tajikistan,TJK,0
Aruba,ABW,Turkmenistan,TKM,0
Aruba,ABW,East Timor,TLS,0
Aruba,ABW,Tonga,TON,0
Aruba,ABW,Trinidad and Tobago,TTO,0
