origin_name,origin_code,destination_name,destination_code,value
Aruba,ABW,Australia,AUS,1
Aruba,ABW,Canada,CAN,1
Aruba,ABW,Chile,CHL,1
Aruba,ABW,Colombia,COL,14
Aruba,ABW,Costa Rica,CRI,1
Aruba,ABW,Ecuador,ECU,13
Aruba,ABW,Spain,ESP,42
Aruba,ABW,France,FRA,1
Aruba,ABW,Greece,GRC,4
Aruba,ABW,Italy,ITA,3
Aruba,ABW,Saint Lucia,LCA,1
Aruba,ABW,Netherlands,NLD,87
Aruba,ABW,Norway,NOR,1
Aruba,ABW,Panama,PAN,1
Aruba,ABW,Venezuela,VEN,101
Afghanistan,AFG,United Arab Emirates,ARE,2094
Afghanistan,AFG,Australia,AUS,8885
Afghanistan,AFG,Austria,AUT,2175
Afghanistan,AFG,Azerbaijan,AZE,35
Afghanistan,AFG,Belgium,BEL,1068
Afghanistan,AFG,Bulgaria,BGR,136
Afghanistan,AFG,Bahrain,BHR,280
Afghanistan,AFG,Belarus,BLR,133
Afghanistan,AFG,Bolivia,BOL,1
Afghanistan,AFG,Brazil,BRA,26
Afghanistan,AFG,Switzerland,CHE,1247
Afghanistan,AFG,Chile,CHL,3
Afghanistan,AFG,Colombia,COL,36
Afghanistan,AFG,Costa Rica,CRI,1
Afghanistan,AFG,Cyprus,CYP,3
Afghanistan,AFG,Czech Republic,CZE,326
Afghanistan,AFG,Denmark,DNK,4478
Afghanistan,AFG,Dominican Republic,DOM,1
Afghanistan,AFG,Algeria,DZA,2
Afghanistan,AFG,Ecuador,ECU,33
Afghanistan,AFG,Egypt,EGY,34
Afghanistan,AFG,Estonia,EST,3
Afghanistan,AFG,Finland,FIN,1379
Afghanistan,AFG,France,FRA,1091
Afghanistan,AFG,Georgia,GEO,9
Afghanistan,AFG,Greece,GRC,62
Afghanistan,AFG,Hungary,HUN,316
Afghanistan,AFG,Ireland,IRL,44
Afghanistan,AFG,Iraq,IRQ,18
Afghanistan,AFG,Iceland,ISL,3
Afghanistan,AFG,Israel,ISR,810
Afghanistan,AFG,Italy,ITA,1782
Afghanistan,AFG,Jordan,JOR,4
Afghanistan,AFG,Kazakhstan,KAZ,567
Afghanistan,AFG,Kyrgyzstan,KGZ,12
Afghanistan,AFG,South Korea,KOR,7
Afghanistan,AFG,Kuwait,KWT,104
Afghanistan,AFG,Libya,LBY,37
Afghanistan,AFG,Lithuania,LTU,10
Afghanistan,AFG,Latvia,LVA,17
Afghanistan,AFG,Moldova,MDA,63
Afghanistan,AFG,Mexico,MEX,2
Afghanistan,AFG,Malta,MLT,1
Afghanistan,AFG,Mauritania,MRT,1
Afghanistan,AFG,Malaysia,MYS,145
Afghanistan,AFG,Nicaragua,NIC,3
Afghanistan,AFG,Netherlands,NLD,8894
Afghanistan,AFG,Norway,NOR,4701
Afghanistan,AFG,New Zealand,NZL,896
Afghanistan,AFG,Panama,PAN,3
Afghanistan,AFG,Philippines,PHL,210
Afghanistan,AFG,Poland,POL,62
Afghanistan,AFG,Portugal,PRT,5
Afghanistan,AFG,Qatar,QAT,550
Afghanistan,AFG,Romania,ROU,3
Afghanistan,AFG,Russia,RUS,5731
Afghanistan,AFG,Saudi Arabia,SAU,796
Afghanistan,AFG,Slovakia,SVK,63
Afghanistan,AFG,Slovenia,SVN,4
Afghanistan,AFG,Sweden,SWE,6388
Afghanistan,AFG,Syria,SYR,566
Afghanistan,AFG,Turkmenistan,TKM,20
Afghanistan,AFG,Turkey,TUR,4119
Afghanistan,AFG,Ukraine,UKR,315
Afghanistan,AFG,Uzbekistan,UZB,192
Afghanistan,AFG,Venezuela,VEN,5
Afghanistan,AFG,South Africa,ZAF,13
Albania,ALB,Australia,AUS,12
Albania,ALB,Belgium,BEL,432
Albania,ALB,Bulgaria,BGR,329
Albania,ALB,Canada,CAN,38
Albania,ALB,Cyprus,CYP,13
Albania,ALB,Czech Republic,CZE,117
Albania,ALB,Germany,DEU,5495
Albania,ALB,Denmark,DNK,41
Albania,ALB,Ecuador,ECU,10
Albania,ALB,Spain,ESP,146
Albania,ALB,Finland,FIN,46
Albania,ALB,France,FRA,196
Albania,ALB,United Kingdom,GBR,4402
Albania,ALB,Greece,GRC,8912
Albania,ALB,Hungary,HUN,21
Albania,ALB,Iceland,ISL,4
Albania,ALB,Lithuania,LTU,4
Albania,ALB,Montenegro,MNE,6986
Albania,ALB,Netherlands,NLD,60
Albania,ALB,Norway,NOR,75
Albania,ALB,Poland,POL,40
Albania,ALB,Romania,ROU,194
Albania,ALB,Slovakia,SVK,20
Albania,ALB,Slovenia,SVN,4
